a52dec 0.7.4-11
aalib 1.4rc5-14
abseil-cpp 20211102.0-2
acl 2.3.1-2
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adwaita-icon-theme 42.0+r1+gc144c3d75-1
alacritty 0.10.1-1
alsa-card-profiles 1:0.3.50-1
alsa-firmware 1.2.4-2
alsa-lib 1.2.6.1-1
alsa-plugins 1:1.2.6-3
alsa-tools 1.2.5-1
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.6.3-1
alsa-utils 1.2.6-1
aom 3.3.0-1
apm 2.6.5-2
arandr 0.1.10-7
archlinux-keyring 20220224-1
arcus 4.13.1-1
argon2 20190702-4
at-spi2-atk 2.38.0-1
at-spi2-core 2.44.0-2
atk 2.38.0-1
atkmm 2.28.2-2
attr 2.5.1-2
audit 3.0.7-1
autoconf 2.71-1
automake 1.16.5-1
autopep8 1:1.6.0-2
avahi 0.8+22+gfd482a7-3
ayatana-ido 0.9.1-1
babl 0.1.90-2
base 2-2
bash 5.1.016-1
bc 1.07.1-4
biber 1:2.17-1
binutils 2.38-4
bison 3.8.2-3
blas 3.10.1-1
blueman 2.2.4-1
bluez 5.64-2
bluez-libs 5.64-2
bluez-utils 5.64-2
boost 1.78.0-2
boost-libs 1.78.0-2
bridge-utils 1.7.1-1
brightnessctl 0.5.1-2
brotli 1.0.9-7
btrfs-progs 5.16.2-1
bubblewrap 0.6.1-1
bzip2 1.0.8-4
c-ares 1.18.1-1
ca-certificates 20210603-1
ca-certificates-mozilla 3.77-1
ca-certificates-utils 20210603-1
cabal-install 3.4.0.0-132
cairo 1.17.6-2
cairomm 1.14.3-2
cantarell-fonts 1:0.303.1-1
cblas 3.10.1-1
cdparanoia 10.2-8
celt 0.11.3-4
chromaprint 1.5.1-3
chromium 100.0.4896.127-2
cifs-utils 6.14-1
clang 13.0.1-2
cmake 3.23.1-1
cmake-extras 1.6-1
cmatrix 2.0-2
code 1.66.0-2
coin 4.0.0.f4e446-2
compiler-rt 13.0.1-1
confuse 3.3-3
conky 1.12.2-1
containerd 1.6.2-1
cool-retro-term 1.2.0-2
coreutils 9.1-1
cryptsetup 2.4.3-2
